Wert;Name;;;;;;;;;;;;;;;;;;;;;
38;Zentrum;;;;;;;;;;;;;;;;;;;;;
112;Zentrum-Ost;;;;;;;;;;;;;;;;;;;;;
428;Zentrum-Südost;;;;;;;;;;;;;;;;;;;;;
258;Zentrum-Süd;;;;;;;;;;;;;;;;;;;;;
246;Zentrum-West;;;;;;;;;;;;;;;;;;;;;
181;Zentrum-Nordwest;;;;;;;;;;;;;;;;;;;;;
194;Zentrum-Nord;;;;;;;;;;;;;;;;;;;;;
646;Schönefeld-Abtnaundorf;;;;;;;;;;;;;;;;;;;;;
415;Schönefeld-Ost;;;;;;;;;;;;;;;;;;;;;
220;Mockau-Süd;;;;;;;;;;;;;;;;;;;;;
380;Mockau-Nord;;;;;;;;;;;;;;;;;;;;;
137;Thekla;;;;;;;;;;;;;;;;;;;;;
19;Plaußig-Portitz;;;;;;;;;;;;;;;;;;;;;
682;Neustadt-Neuschönefeld;;;;;;;;;;;;;;;;;;;;;
903;Volkmarsdorf;;;;;;;;;;;;;;;;;;;;;
501;Anger-Crottendorf;;;;;;;;;;;;;;;;;;;;;
351;Sellerhausen-Stünz;;;;;;;;;;;;;;;;;;;;;
804;Paunsdorf;;;;;;;;;;;;;;;;;;;;;
38;Heiterblick;;;;;;;;;;;;;;;;;;;;;
86;Mölkau;;;;;;;;;;;;;;;;;;;;;
150;Engelsdorf;;;;;;;;;;;;;;;;;;;;;
19;Baalsdorf;;;;;;;;;;;;;;;;;;;;;
27;Althen-Kleinpösna;;;;;;;;;;;;;;;;;;;;;
654;Reudnitz-Thonberg;;;;;;;;;;;;;;;;;;;;;
393;Stötteritz;;;;;;;;;;;;;;;;;;;;;
134;Probstheida;;;;;;;;;;;;;;;;;;;;;
70;Meusdorf;;;;;;;;;;;;;;;;;;;;;
107;Liebertwolkwitz;;;;;;;;;;;;;;;;;;;;;
103;Holzhausen;;;;;;;;;;;;;;;;;;;;;
570;Südvorstadt;;;;;;;;;;;;;;;;;;;;;
608;Connewitz;;;;;;;;;;;;;;;;;;;;;
84;Marienbrunn;;;;;;;;;;;;;;;;;;;;;
321;Lößnig;;;;;;;;;;;;;;;;;;;;;
86;Dölitz-Dösen;;;;;;;;;;;;;;;;;;;;;
218;Schleußig;;;;;;;;;;;;;;;;;;;;;
523;Plagwitz;;;;;;;;;;;;;;;;;;;;;
411;Kleinzschocher;;;;;;;;;;;;;;;;;;;;;
251;Großzschocher;;;;;;;;;;;;;;;;;;;;;
82;Knautkleeberg-Knauthain;;;;;;;;;;;;;;;;;;;;;
21;Hartmannsdorf-Knautnaundorf;;;;;;;;;;;;;;;;;;;;;
213;Schönau;;;;;;;;;;;;;;;;;;;;;
241;Grünau-Ost;;;;;;;;;;;;;;;;;;;;;
795;Grünau-Mitte;;;;;;;;;;;;;;;;;;;;;
45;Grünau-Siedlung;;;;;;;;;;;;;;;;;;;;;
667;Lausen-Grünau;;;;;;;;;;;;;;;;;;;;;
476;Grünau-Nord;;;;;;;;;;;;;;;;;;;;;
32;Miltitz;;;;;;;;;;;;;;;;;;;;;
342;Lindenau;;;;;;;;;;;;;;;;;;;;;
769;Altlindenau;;;;;;;;;;;;;;;;;;;;;
245;Neulindenau;;;;;;;;;;;;;;;;;;;;;
366;Leutzsch;;;;;;;;;;;;;;;;;;;;;
237;Böhlitz-Ehrenberg;;;;;;;;;;;;;;;;;;;;;
57;Burghausen-Rückmarsdorf;;;;;;;;;;;;;;;;;;;;;
620;Möckern;;;;;;;;;;;;;;;;;;;;;
214;Wahren;;;;;;;;;;;;;;;;;;;;;
45;Lützschena-Stahmeln;;;;;;;;;;;;;;;;;;;;;
94;Lindenthal;;;;;;;;;;;;;;;;;;;;;
474;Gohlis-Süd;;;;;;;;;;;;;;;;;;;;;
328;Gohlis-Mitte;;;;;;;;;;;;;;;;;;;;;
242;Gohlis-Nord;;;;;;;;;;;;;;;;;;;;;
398;Eutritzsch;;;;;;;;;;;;;;;;;;;;;
24;Seehausen;;;;;;;;;;;;;;;;;;;;;
115;Wiederitzsch;;;;;;;;;;;;;;;;;;;;;
