Wert;Name
1825,86;Zentrum
1685,21;Zentrum-Ost
1230,3;Zentrum-Südost
1723,61;Zentrum-Süd
1860,62;Zentrum-West
2001,7;Zentrum-Nordwest
1810,56;Zentrum-Nord
1259,56;Schönefeld-Abtnaundorf
1240,02;Schönefeld-Ost
1420,59;Mockau-Süd
1430,74;Mockau-Nord
1530,33;Thekla
1419,55;Plaußig-Portitz
1369,3;Neustadt-Neuschönefeld
1313,68;Volkmarsdorf
1409,4;Anger-Crottendorf
1355,35;Sellerhausen-Stünz
1221,79;Paunsdorf
1669,87;Heiterblick
1747,17;Mölkau
1646,59;Engelsdorf
1792,77;Baalsdorf
1777,17;Althen-Kleinpösna
1477,19;Reudnitz-Thonberg
1618,45;Stötteritz
1711,17;Probstheida
1467,02;Meusdorf
1632,072;Liebertwolkwitz
1992,18;Holzhausen
1866,34;Südvorstadt
1530,43;Connewitz
1502,18;Marienbrunn
1374,76;Lößnig
1629,93;Dölitz-Dösen
2016;Schleußig
1545,15;Plagwitz
1478,87;Kleinzschocher
1453,67;Großzschocher
1712,44;Knautkleeberg-Knauthain
1443,06;Hartmannsdorf-Knautnaundorf
1684,03;Schönau
1182,69;Grünau-Ost
1269,93;Grünau-Mitte
1739,58;Grünau-Siedlung
1380,26;Lausen-Grünau
1194,08;Grünau-Nord
1563,48;Miltitz
1735,65;Lindenau
1391,18;Altlindenau
1488,14;Neulindenau
1500,29;Leutzsch
1486,12;Böhlitz-Ehrenberg
1924,44;Burghausen-Rückmarsdorf
1646,73;Möckern
1411,52;Wahren
1539,42;Lützschena-Stahmeln
1654,84;Lindenthal
1820,95;Gohlis-Süd
1700,4;Gohlis-Mitte
1571,81;Gohlis-Nord
1652,4;Eutritzsch
1674,41;Seehausen
1760,49;Wiederitzsch
