"Gebiet","Sachmerkmal","X2019"
"Zentrum","Persönliches Einkommen","1825,86228741449"
"Zentrum-Ost","Persönliches Einkommen","1685,21465145296"
"Zentrum-Südost","Persönliches Einkommen","1230,3002590334"
"Zentrum-Süd","Persönliches Einkommen","1723,61974524395"
"Zentrum-West","Persönliches Einkommen","1860,62126157356"
"Zentrum-Nordwest","Persönliches Einkommen","2001,70853058349"
"Zentrum-Nord","Persönliches Einkommen","1810,56807744534"
"Schönefeld-Abtnaundorf","Persönliches Einkommen","1259,55998182373"
"Schönefeld-Ost","Persönliches Einkommen","1240,01741084135"
"Mockau-Süd","Persönliches Einkommen","1420,58661145618"
"Mockau-Nord","Persönliches Einkommen","1430,74328519829"
"Thekla","Persönliches Einkommen","1530,32502123099"
"Plaußig-Portitz","Persönliches Einkommen","1419,55465704874"
"Neustadt-Neuschönefeld","Persönliches Einkommen","1369,30255015992"
"Volkmarsdorf","Persönliches Einkommen","1313,68071525285"
"Anger-Crottendorf","Persönliches Einkommen","1409,39614816647"
"Sellerhausen-Stünz","Persönliches Einkommen","1355,34594704123"
"Paunsdorf","Persönliches Einkommen","1221,79069260124"
"Heiterblick","Persönliches Einkommen","1669,86813566334"
"Mölkau","Persönliches Einkommen","1747,17302919718"
"Engelsdorf","Persönliches Einkommen","1646,59482378322"
"Baalsdorf","Persönliches Einkommen","1792,76890451475"
"Althen-Kleinpösna","Persönliches Einkommen","1777,17015870346"
"Reudnitz-Thonberg","Persönliches Einkommen","1477,18994178904"
"Stötteritz","Persönliches Einkommen","1618,44635487817"
"Probstheida","Persönliches Einkommen","1711,16941491105"
"Meusdorf","Persönliches Einkommen","1467,01648947425"
"Liebertwolkwitz","Persönliches Einkommen","1632,0724625514"
"Holzhausen","Persönliches Einkommen","1992,17694862236"
"Südvorstadt","Persönliches Einkommen","1866,34072337186"
"Connewitz","Persönliches Einkommen","1530,43065394619"
"Marienbrunn","Persönliches Einkommen","1502,18227044132"
"Lößnig","Persönliches Einkommen","1374,76325896785"
"Dölitz-Dösen","Persönliches Einkommen","1629,92522741037"
"Schleußig","Persönliches Einkommen","2016,00190561904"
"Plagwitz","Persönliches Einkommen","1545,15003251269"
"Kleinzschocher","Persönliches Einkommen","1478,86849476936"
"Großzschocher","Persönliches Einkommen","1453,67040236266"
"Knautkleeberg-Knauthain","Persönliches Einkommen","1712,43967923897"
"Hartmannsdorf-Knautnaundorf","Persönliches Einkommen","1443,05946668469"
"Schönau","Persönliches Einkommen","1684,02623773588"
"Grünau-Ost","Persönliches Einkommen","1182,69119628374"
"Grünau-Mitte","Persönliches Einkommen","1269,92524687821"
"Grünau-Siedlung","Persönliches Einkommen","1739,58072515402"
"Lausen-Grünau","Persönliches Einkommen","1380,261600346"
"Grünau-Nord","Persönliches Einkommen","1194,07532186042"
"Miltitz","Persönliches Einkommen","1563,47586429453"
"Lindenau","Persönliches Einkommen","1735,64520001298"
"Altlindenau","Persönliches Einkommen","1391,17558208726"
"Neulindenau","Persönliches Einkommen","1488,14001614925"
"Leutzsch","Persönliches Einkommen","1500,28663051087"
"Böhlitz-Ehrenberg","Persönliches Einkommen","1486,11399089204"
"Burghausen-Rückmarsdorf","Persönliches Einkommen","1924,44376348646"
"Möckern","Persönliches Einkommen","1646,72904302495"
"Wahren","Persönliches Einkommen","1411,51505626094"
"Lützschena-Stahmeln","Persönliches Einkommen","1539,42255724326"
"Lindenthal","Persönliches Einkommen","1654,83512523133"
"Gohlis-Süd","Persönliches Einkommen","1820,95300994867"
"Gohlis-Mitte","Persönliches Einkommen","1700,4009859165"
"Gohlis-Nord","Persönliches Einkommen","1571,81406118917"
"Eutritzsch","Persönliches Einkommen","1652,39908135495"
"Seehausen","Persönliches Einkommen","1674,41448052915"
"Wiederitzsch","Persönliches Einkommen","1760,49111927625"
"Mitte","Persönliches Einkommen","1561,8037547802"
"Nordost","Persönliches Einkommen","1242,69052355052"
"Ost","Persönliches Einkommen","1291,57419446603"
"Südost","Persönliches Einkommen","1410,79429914148"
"Süd","Persönliches Einkommen","1518,25164868368"
"Südwest","Persönliches Einkommen","1532,00020536336"
"West","Persönliches Einkommen","1237,43877444886"
"Alt-West","Persönliches Einkommen","1428,25328021808"
"Nordwest","Persönliches Einkommen","1555,67514576419"
"Nord","Persönliches Einkommen","1668,64112830234"
"Stadt Leipzig","Persönliches Einkommen","1438,05230525735"
